Day,Discuss in class,,Week,,,,,,,,,,,,,,,
49,,,14,21-Apr,Friday,,,,,6.3,133,,Integration and Differentiation,,2,1.089108911,,
50,,,15,24-Apr,Monday,,,,,6.4,135,0,Integration of Vector-valued Functions,,0,0,,
51,,,15,26-Apr,Wednesday,,,,,6.5,136,0,Rectifiable Curves,,0,0,,
52,,,15,28-Apr,Friday,,,,,exercises,138,0,,,0,0,,
53,,,16,1-May,Monday,,,,,7.1,143,0,Discussion of Main Problem,,0,0,,
54,,,16,2-May,Tuesday,,,,,7.2,147,0,Uniform Convergence,,0,0,,
55,,,16,3-May,Wednesday,,,,,7.3,149,0,Uniform Convergence and Continuity,,0,0,,
,,,,,,,,,,7.4,151,0,Uniform Convergence and Integration,,0,0,,
,,,,,,,,,,7.5,152,0,Uniform Convergence and Differentiation,,0,0,,
,,,,,,,,,,7.6,154,0,Equicontinuous Families of Functions,,0,0,,
,,,,,,,,,,7.7,159,0,The Stone-Weierstrass Theorem,,0,0,,
,,,,,,,,,,exercises,165,0,,,0,0,,
,,,,,,,,,,8.1,172,0,Power Series,,0,0,,
,,,,,,,,,,8.2,178,0,The Exponential and Logarithmic Functions,,0,0,,
,,,,,,,,,,8.3,182,0,The Trigonometric Functions,,0,0,,
,,,,,,,,,,8.4,184,0,The Algebraic Completeness of the Complex Field,,0,0,,
,,,,,,,,,,8.5,185,0,Fourier Series,,0,0,,
,,,,,,,,,,8.6,192,0,The Gamma Function,,0,0,,
,,,,,,,,,,exercises,196,0,,,0,0,,
,,,,,,,,,,9.1,204,0,Linear Transformations,,0,0,,
,,,,,,,,,,9.2,211,0,Differentiation,,0,0,,
,,,,,,,,,,9.3,220,0,The Contraction Principle,,0,0,,
,,,,,,,,,,9.4,221,0,The Inverse Function Theorem,,0,0,,
,,,,,,,,,,9.5,223,0,The Implicit Function Theorem,,0,0,,
,,,,,,,,,,9.6,228,0,The Rank Theorem,,0,0,,
,,,,,,,,,,9.7,231,0,Determinants,,0,0,,
,,,,,,,,,,9.8,235,0,Derivatives of Higher Order,,0,0,,
,,,,,,,,,,9.9,236,0,Differentiation of Integrals,,0,0,,
,,,,,,,,,,exercises,239,0,,,0,0,,
,,,,,,,,,,10.1,245,0,Integration,,0,0,,
,,,,,,,,,,10.2,248,0,Primitive Mappings,,0,0,,
,,,,,,,,,,10.3,251,0,Partitions of Unity,,0,0,,
,,,,,,,,,,10.4,252,0,Change of Variables,,0,0,,
,,,,,,,,,,10.5,253,0,Differential Forms,,0,0,,
,,,,,,,,,,10.6,256,0,Simplexes and Chains,,0,0,,
,,,,,,,,,,10.7,273,0,Stokes' Theorem,,0,0,,
,,,,,,,,,,10.8,275,0,Closed Forms and Exact Forms,,0,0,,
,,,,,,,,,,10.9,280,0,Vector Analysis,,0,0,,
,,,,,,,,,,exercises,288,0,,,0,0,,
,,,,,,,,,,11.1,300,0,Set Functions,,0,0,,
,,,,,,,,,,11.2,302,0,Construction of the Lebesgue Measure,,0,0,,
,,,,,,,,,,11.3,310,0,Measure Spaces,,0,0,,
,,,,,,,,,,11.4,310,0,Measurable Functions,,0,0,,
,,,,,,,,,,11.5,313,0,Simple Functions,,0,0,,
,,,,,,,,,,11.6,314,0,Integration,,0,0,,
,,,,,,,,,,11.7,322,0,Comparison with the Riemann Integral,,0,0,,
,,,,,,,,,,11.8,325,0,Integration of Complex Functions,,0,0,,
,,,,,,,,,,11.9,325,0,Functions of Class L2,,0,0,,
,,,,,,,,,,exercises,332,0,,,0,0,,
,,,,,,,,,,,335,,,,,0,,
